연번,읍면동,경로당 명,소재지,새주소,건물구조,계,남,여,"경로당
면적
(㎡)","건축년도
(준공일)"
280,단구동,통일장수회 경로당,단구동 554-2 통일A,"치악로 1692(단구동, 통일A)",철근콘크리트,26,10,16,49.5,1999-12-31
281,단구동,대림A 경로당,단구동 1517-1 대림A,"남원로 524(단구동, 대림A)",철근콘크리트,31,0,31,87.3,1997-12-20
282,단구동,성일A 경로당,단구동 1589-4 성일A,"단구로 418(단구동, 성일A)",철근콘크리트,40,6,34,65,1998-06-22
283,단구동,구곡현대2차A 경로당,단구동 1589-1,"늘픔로 16(단구동, 현대2차A)",철근콘크리트,11,1,10,90,1998-11-19
284,단구동,현진에버빌2차A 경로당,단구동 1588-1,"늘픔로 36(단구동, 현진에버빌2차A)",철근콘크리트,0,,,48.75,2002-07-30
285,단구동,유승A 경로당,단구동 1478-4 유승A,"강변로 119(단구동, 유승A)",철근콘크리트,20,6,14,92,2003-06-30
286,단구동,동보5차A 경로당,단구동 1026-24 동보렉스5차A,"남원로534번길 50, B-105(단구동, 동보렉스5차A)",철근콘크리트,25,7,18,52.47,1991-11-29
287,단구동,현진에버빌1차A 경로당,단구동 1612 현진에버빌1차A,"나비허리길 22(단구동, 현진에버빌1차A)",철근콘크리트,25,9,16,115.65,2001-05-17
288,단구동,청솔1차A 경로당,단구동 1589-2,"늘픔로 6(단구동, 청솔1차A)",철근콘크리트,17,1,16,64.49,2000-07-13
289,단구동,현진5.6차A 경로당,단구동 1682-1 현진에버빌5차A,"단구로 416(단구동, 현진에버빌5차A)",철근콘크리트,28,12,16,86.48,2006-01-17
290,단구동,세경웰러스A 경로당,단구동 1589-3 세경웰러스A,"단구로 424(단구동, 세경웰러스A)",철근콘크리트,10,2,8,108,2005-07-19
291,단구동,청솔2차A 경로당,단구동 1588-4 청솔2차A,"단구로 408(단구동, 청솔2차A)",철근콘크리트,24,6,18,76.28,2000-11-15
292,단구동,청솔7차A 경로당,단구동 1517-3 청솔7차A,"남원로 494(단구동, 청솔7차A)",철근콘크리트,31,8,23,90,2002-12-23
293,단구동,한신2차A 경로당,단구동 1461 한신2차A,"서원대로 427(단구동, 한신2차A)",철근콘크리트,25,5,20,78,2006-11-22
294,단구동,신성미소지움A 경로당,단구동 1604-1 신성미소지움A,"나비허리길 57(단구동, 신성미소지움A)",철근콘크리트,23,6,17,68.773,2006-12-26
295,단구동,단관중앙하이츠A 경로당,단구동 1702 중앙하이츠A,"단관공원길 111(단구동, 중앙하이츠A)",철근콘크리트,22,10,12,150,2008-10-24
296,단구동,해청A 경로당,강원 원주시 단구동 587-1,"늘픔로 120(단구동, 해청A)",철근콘크리트,23,7,16,43.56,1991-12-16
297,단구동,청솔3차A 경로당,단구동 1679 청솔3차 A,"단구로 406(단구동, 청솔3차A)",철근콘크리트,18,4,14,122.72,2000-12-14
298,단구동,천매 경로당,단구동 1592,남원로442번길 47(단구동),철근콘크리트,31,10,21,104.56,2012-11-23
299,단구동,세경5차A 경로당,단구동 1588-3 세경5차A,"단구로 412(단구동, 세경5차A)",철근콘크리트,30,8,22,80,2001-11-20
300,단구동,개화원 경로당,단구동 1594-2,단관길 67-21(단구동),철근콘크리트,36,24,12,85.92,2014-11-27
301,단구동,소담 경로당,단구동 627-62,치악로 1641-5(단구동),,23,0,23,65.52,2017-01-01
302,단구동,한신더휴A 경로당,단구동 1451,"단구로 250(단구동, 한신더휴A)",철근콘크리트,40,10,30,,2017-11-29
303,일산동,일산 경로당,일산동 228-30,동진골3길 16(일산동),철근콘크리트,51,29,22,190.48,2003-12-23
304,일산동,원일 경로당,일산동 345-2,남산로 95-1(일산동),철근콘크리트,22,7,15,84.81,2017-12-11
305,일산동,일광오 경로당,일산동 247-137 일산연립,"남산로149번길 18(일산동, 일산연립)",철근콘크리트,46,12,34,78.64,1985-08-10
306,일산동,우보삼성A 경로당,일산동 333-3 우보삼성A,"남산로 103(일산동, 우보삼성A)",철근콘크리트,31,6,25,81.85,1993-01-20
307,일산동,신진빌리지A 경로당,일산동 272-3 신진빌리지A,"천사로 130(일산동, 신진빌리지)",철근콘크리트,18,9,9,82.6,1990-10-30
308,일산동,원흥2차A 경로당,일산동 355-1 원흥2차A,"무실로 130(일산동, 원흥2차A)",철근콘크리트,18,3,15,59.5,1992-06-09
309,일산동,국제A 경로당,일산동 247-162 국제A,"남산로 141(일산동, 국제A)",철근콘크리트,25,3,22,93.88,2001-07-25
310,일산동,치악 경로당,일산동 184-1,옛시청길 11(일산동),벽돌조적조,30,23,7,106.75,1981-06-21
311,일산동,두진하트리움시티아파트 경로당,일산동 365,천사로 189(일산동),철근콘크리트구조,47,23,24,109.3,2019-05-17
312,학성동,학일 경로당,학성동 271-15,유문1길 5-2(학성동),철근콘크리트구조,32,12,20,100.86,2003-12-11
313,학성동,광명 경로당,학성동 1008-132,광명마을길 34(학성동),세멘벽돌/스라브/경량철골/조립식판넬,52,21,31,98.65,1983-02-23
314,학성동,서부 경로당,학성동 983-6,송계1길 22-17(학성동),연와조/스라브,39,8,31,102.69,1988-06-07
315,학성동,삼천리1차A 경로당,학성동 1032-6 삼천리1차A,"학성길 46(학성동, 삼천리1차A)",철근콘크리드,37,14,23,77,1991-06-08
316,학성동,삼천리2차A 경로당,학성동 1032-9 삼천리2차A,"학성길 54(학성동, 삼천리2차A)",철근콘크리트,26,7,19,102,1993-06-25
317,학성동,삼천리3차A 경로당,학성동 1031 삼천리3차A,"학성길38(학성동, 삼천리3차A)",철근콘크리드,24,6,18,64.8,1997-12-08
318,학성동,영진로얄타운 경로당,학성동 1050,"남산로218번길 28-3(학성동, 영진로얄타운)",철근콘크리드,31,8,23,72,1994-11-17
319,학성동,영진로얄맨션 경로당,학성동 1056-1,"옛시청길 30(학성동, 영진로얄맨션)",철근콘크리트,34,15,19,82.015,1991.12.24
320,학성동,원문 경로당,학성동 1023-38,원문로69번길 21(학성동),변색벽돌,24,6,18,90.71,1989-11-14
321,단계동,단계 경로당,단계동 147-15,원문로 117-1(단계동),철근콘크리트,39,1,38,199,1983-07-29
322,단계동,단계A 경로당,단계동 793 단계A,"서원대로 205(단계동, 단계A)",철근콘크리트,29,11,18,109.09,1985-09-02
323,단계동,모란 경로당,단계동 78-6 ,모란1길 17-6(단계동),벽돌구조,33,9,24,90.15,2010-09-17
324,단계동,동보렉스3차A 경로당,단계동 111-4 동보렉스3차A,"원문로 158(단계동, 동보렉스3차A)",철근콘크리트,31,7,24,27.08,1990-05-15
325,단계동,동보렉스4차A 경로당,단계동 111-47 동보렉스4차A,"원문로 160, 201-104(단계동, 동보렉스4차A)",철근콘크리트,25,8,17,73,1991-05-15
326,단계동,라이프A 경로당,단계동 808-1 라이프타운,"백간길 72(단계동, 라이프타운)",철근콘크리트,40,16,24,131.58,1993-11-29
327,단계동,롯데A 경로당,단계동 807 롯데A,"백간길 53(단계동, 롯데A)",철근콘크리트,34,19,15,152.06,1993-11-24
328,단계동,벽산A 경로당,단계동 809 벽산A,"백간길 80(단계동, 벽산A)",P.C,25,10,15,91.5,1993-11-17
329,단계동,삼익A 경로당,단계동 808 삼익A,"봉화로 74(단계동, 삼익A)",철근콘크리트,45,20,25,75.6,1993-11-12
330,단계동,은행A 경로당,단계동 806 은행A,"원문로 175(단계동, 은행A)",철근콘크리트,30,8,22,89.5,1994-11-03
331,단계동,현대3차A 경로당,단계동 507 현대3차A,"원문로 176(단계동, 현대3차A)",철근콘크리트,21,3,18,64.8,1992-10-26
332,단계동,현진A 경로당,단계동 806-1 현진A,"봉화로 122(단계동, 현진A)",철근콘크리트,28,10,18,82.64,1993-11-29
333,단계동,세경A 경로당,단계동 807-1 세경A,"백간길 63(단계동, 세경A)",철근콘크리트,23,4,19,114.8,1996-01-11
334,단계동,성일A 경로당,단계동 1084-1 성일A,"모래내길 50(단계동, 성일A)",철근콘크리트,20,6,14,79,1995-01-01
