,식당명,GRID_X,GRID_Y
321,예쁜술자리예술,396450,524483
322,한고을,391982,521309
323,아이러브피자 명륜점,394910,524889
324,커피플리즈,394440,529573
325,요거프레소 원주무실점,393940,525454
326,치킨퐁 구곡천매점,395220,524651
327,남다른대구막창 원주단구점,396489,524486
328,정원,393349,526893
329,땡기요 원주일산점,394815,527156
330,안나로싸 앤틱카페,400690,529265
331,쉐프스카페 에비뉴파크점,399134,524784
332,커피더판다 단계점,394164,527443
333,나는야갈매기,396562,524348
334,미프 무실본점,394153,525571
335,MONO,383124,522384
336,처갓집양념치킨 강원일산점,395542,527213
337,맛있는공간,385892,528997
338,59피자 59쌀피자 롯데시네마점,395964,525175
339,연가네닭갈비,394180,528888
340,다정손두부,396581,526228
341,웅이네구이,396730,523736
342,대구연탄석쇠불고기,397404,526685
343,황골보리밥,400592,527992
344,전국지 원주단계점,393945,527292
345,네네치킨 무실점,393457,525751
346,낭자네장칼국수,394579,528437
347,고기서고기,395181,524698
348,철인7호 단구점,396427,524435
349,황둔두산치킨,417167,517810
350,달빛마루,400557,529420
351,카페마마,385111,524630
352,순덕이네고기굽는포차,393770,527494
353,만종반점,391290,527504
354,부산항횟집,396024,525569
355,국빈관삼겹살,393945,527292
356,북원반점,395875,531275
357,장터추어탕월송점,386449,533005
358,또래오래 단계우산점,393616,527573
359,수리봉,393451,521770
360,푸실,393306,521753
361,닥바타,394064,527429
362,박가네추어탕,393337,524787
363,그때그집 분점,394456,528208
364,진땡이곱창막창,394100,525800
365,민병선한방부대찌개,393993,525583
366,반곡돌위에짜장,398668,524879
367,봉구비어 원주롯데시네마점,395792,525315
368,동대문엽기떡볶이 원주단구점,395735,525362
369,제주연탄고기 단구점,395654,524330
370,섬강 기사식당,383096,522356
371,다닭다닥,393618,526368
372,배꼽골뱅이집,394284,527373
373,참숯불 착한 뒷고기,396332,526246
374,펍오클락,394087,527388
375,원조손맛할매순대국,396261,526713
376,로스팅힐,395964,525175
377,서우부대찌개,399127,524099
378,청솔김밥,396091,524480
379,영월고향촌,394182,526155
380,순천집 맞당께,396809,526364
381,웰빙식당,395643,531333
382,관우순대,394016,525559
383,신참떡볶이 원주시청점,393003,526206
384,자하동해해물,393756,526050
385,서가네가든,393282,521810
386,동진막국수,392199,520111
387,가마치통닭 원동점,395172,526850
388,브릭스,393797,526162
389,운채 다락방,400748,526558
390,송백황토오리진흙구이,400167,520085
391,불타는삼겹살,394204,525498
392,육대장 원주행구점,397930,526699
393,솔방울매운족발,396055,527238
394,진송,399734,530982
395,광수네더덕민물장어,399079,526796
396,흑돼지전문점흑차돌 봉산동박물관점,397345,526739
397,수상한감자탕해장국순대국 원주무실점,394126,525600
398,토담추어탕,394816,529468
399,우미정 말이고기,394053,525597
400,단계오복식당,395353,525397
401,소복소복소쿠리,401024,526931
402,언니네구이&생고기,393857,526142
403,달마루정육식당,395981,526157
404,요거프레소 상지대점,394413,529802
405,너답다,393436,525749
406,알천콩나물국밥,395624,526057
407,신술남,393747,527381
408,가마치통닭 원주 성호점,396716,528812
409,대돼지삼겹살,395250,524646
410,메밀꽃막국수,384144,523422
411,행복회수산,397097,524008
412,가고파포차,396596,525064
413,샤브향 원주시청점,393463,526694
414,일미리금계찜닭 원주단계점,393975,526967
415,정든밥상,394241,526254
416,소라분식,395693,527560
417,신통치킨 무실점,393707,526139
418,항아리보쌈 원주단계점,393784,527225
419,한우축제정육식당,394231,528888
420,연숙이네해물칼국수,377970,511868
421,평창송어,400464,527711
422,선진정육식당,397141,526701
423,태장삼겹살,395955,531404
424,담채한정식,394110,525586
425,육감만족 원주단구점,395421,525541
426,오향골송어회,399723,527782
427,권가네바삭한두마리치킨,394464,526275
428,광계토숯불바베큐원주1호점,393426,525773
429,화로구이깡통,393062,522278
430,충주괴산올갱이해장국,393626,526298
431,금대리막국수,400124,520210
432,해담산더미해물찜,384309,523616
433,온달족발,396638,525069
434,민경포차,395957,531421
435,남원로 442,395149,524709
436,전주현대옥 원주시청점,393648,526279
437,다복돼지,396282,526625
438,함지박,394119,525682
439,땡기요 태장점,396239,531238
440,수타 제일반점,394298,526051
441,피움카페,395840,525210
442,다빈치 한식뷔페,393992,526175
443,202식당,398332,524647
444,리지대만식당,394163,527645
445,동경케이크무실점,394009,525761
446,cafe 떼루와,398025,531232
447,닌자고쿠시,389415,530168
448,우드,393436,525787
449,카밀레,396271,527749
450,대박이네,389084,530181
451,서라미 중앙점,395092,524985
452,쏘핫마라탕마라샹궈 13호점,393892,525790
453,유알마인,382675,528519
454,치요남치킨 원주단계점,394211,527376
455,삼수갑산왕족발보쌈,397036,526795
456,오후정,395321,526549
457,이디야커피 원주흥업점,393099,522428
458,족발블루스,393741,527513
459,가야정,394424,526305
460,신계강원본점,393807,526302
461,원주기덕기사식당,394764,528896
462,카페치올라,401575,527609
463,기소야 원주점,393444,526574
464,원주곰탕,394913,529972
465,진짜우리순대,391288,523588
466,진미닭강정,395725,527721
467,토속시골밥상,394221,525573
468,언니손맛카롱,394615,529733
469,이디야커피 원주단구동점,395744,525288
470,다인분식,394825,529991
471,삼도다방,378030,511826
472,진미당분식,395693,527560
473,유유카롱,397166,526201
474,길성이 원주점,400453,526717
475,광어한마리 흥업점,393062,522128
476,명륜한식부페,394865,525958
477,가르텐비어 원주봉산점,397095,526666
478,고려원녹각삼계탕,397586,523799
479,미향,394296,527205
480,행복한우동가게,393718,527312
481,향촌,393622,527521
482,딸부자꼬마김밥,393700,526096
483,달달비어,394184,527210
484,송어회배달전문점,396370,526782
485,충남식당단구동,396725,524935
486,황금무지개송어회,394667,529585
487,금대리자연밥상,399836,520778
488,야래향,391415,519891
489,경성맛집,401260,527303
490,카페베네 원주씨네마점,395769,525426
491,커피라디오 본점,396623,523781
492,곰포차,395875,525408
493,배스킨라빈스 무실점,394005,525877
494,원주한우내장탕,397032,526759
495,비어창고,395832,531316
496,일호감자탕 무실점,393373,525749
497,가마치통닭 봉화산점,392921,528153
498,송탄부대찌개,393769,527264
499,호식이두마리치킨 봉산점,397259,526709
500,신통치킨 원주1호점,397109,524049
501,청송기사식당,395167,531578
502,흥업동해막국수,392591,522514
503,송탄온마루부대찌개,393601,527458
504,향교칼국수,395872,526439
505,이가면옥,398234,532007
506,동광식당,394974,527191
507,초록지붕,389737,526198
508,뚱땡이멸치국수포차,396151,526876
509,동하네포차,396511,524490
510,더본감자탕,397089,526444
511,얼음골송어,396112,525186
512,원주뼈집,394350,526474
513,Morish,396490,524218
514,엔제리너스원주단구점,395860,525250
515,카페루시,393731,526114
516,도레아,398626,525031
517,주천강다슬기해장국,396690,523909
518,필돈까스,393055,522252
519,베스파정육식당,393901,525982
520,이레버섯샤브샤브,395964,527310
521,굴세상무실점,393888,526195
522,고봉삼계탕 원주점,393524,526382
523,호식이두마리치킨무실점,393206,525837
524,천일식당,393758,527420
525,조가네갑오징어 원주점,395169,523091
526,소브루,394930,521634
527,일능이한방백숙,394652,529926
528,머구소,397947,526685
529,진성양푼김치찌개,394227,526212
530,크라켄 봉화산점,393817,527327
531,카페 쏠리에보,395467,527652
532,송정,392904,525677
533,배스킨라빈스 원주단계점,393665,527791
534,파리바게뜨 원주시청점,393003,526206
535,카페루앤비 원주상지대점,394533,529555
536,애뜰리,384234,521624
537,템퍼러리,395149,527548
538,나무그늘,396453,526364
539,해물촌,395520,531388
540,연안식당 원주무실점,393988,525897
541,나만아는,395591,526966
542,족발당,393914,526169
543,오리지널시카고피자 원주무실점,394077,525758
544,후라이드 바삭킹 태장점,395538,531225
545,피자헛 원주봉화점,393665,527791
546,내신1등급,395114,526916
547,CAFE 에그랑,399005,525093
548,쉐프윤찹쌀꽈배기고로케 원주점,395929,527627
549,베이커리 가루,393733,526120
550,제주도야지,389276,530087
551,오케이크 원주무실점,393922,525765
552,만복기사식당,398025,531232
553,카페1934,399271,525141
554,원주족발맛집,395140,524680
555,60계 치킨 원주무실점,393344,526638
556,문막의크리스마스,383807,522397
557,대기업짬뽕,389103,530131
558,만나정,385512,534657
559,타오 중식당,393407,526538
560,딸부자꼬마김밥 원주기업도시점,388941,531119
